Item,Quantity,Description / Purpose,Link / Estimated Cost (USD)
DS3218 20kg Servo,3,High-torque servos for primary high-tension movements (e.g. main grip/wrist),https://www.amazon.ae/Miuzei-Torque-Waterproof-Control-Digital/dp/B0CQX9SYP2/ref=sr_1_5
MG996R Pro Servo,3,Standard-torque metal gear servos for secondary finger articulation,https://www.amazon.ae/Deegoo-4-Pack-MG996R-Digital-Helicopter/dp/B07MFK266B/ref=sr_1_2
NEMA 23 Stepper Motor,1,High-torque motor for the main structural load-bearing joint,https://www.amazon.ae/STEPPERONLINE-Stepper-Motor-339-79oz-57x57x82mm/dp/B091C37FJ2/ref=sr_1_3
Arduino Uno (or Clone),1,The main microcontroller for processing logic and sending motor signals,https://www.amazon.ae/Arduino-bridges-high-performance-computing-real-time/dp/B0GFN669S4/ref=sr_1_16
TB6600 Stepper Motor Driver,1,Required to safely deliver high current to the NEMA 23,https://www.amazon.ae/Usongshine-Stepper-Driver-Controller-Motor%EF%BC%881/dp/B07HHS14VQ/ref=sr_1_3
12V or 24V Power Supply,1,High-wattage wall adapter or PSU to power the stepper motor,https://www.amazon.ae/Switching-Regulated-Transformer-Converter-Computer/dp/B09X9R9668/ref=sr_1_8
5V DC-DC Buck Converter,3-4,Steps down the 12V/24V power to a safe 5V for the 6 servos (do not power servos directly from Arduino),https://www.amazon.ae/1-25-36V-Step-Down-Converter-Voltage-Regulator/dp/B0F24ZHB4S/ref=sr_1_3
Long Strong Rubber Bands,1 Roll,Used as high-tension tendons for finger actuation,https://www.amazon.ae/Kowvowz-Large-Rubber-Bands-Approximately/dp/B0CQ7F6KJS/ref=sr_1_37
Jumper Wires & Perfboard,1 Set,For routing signals between the Arduino / driver / and servos,Bought from local store (~30 AED)
M3 / M4 Screws & Nuts,1 Kit,Standard metric hardware for assembling the 3D printed chassis,Bought from local store (~25 AED)
3D Printer Filament,3 kg,"PLA+ or PETG recommended for durability and ease of printing",https://www.amazon.ae/ELEGOO-Filament-Black-Dimensional-1kg/dp/B0F7LBXB2X/ref=sr_1_1_sspa
